SUP - ID Token SMACT;GAREENT - Code Gare Entrée;GARESOR - Code Gare Sortie;GAREENT - Libellé Gare Entrée;GARESOR - Libellé Gare Sortie;DATEENT - Date Entrée;DATESOR - Date Sortie (caractères)
25004902265700003;211;220;AVIGNON-N;LANCON;20120102140646;20120102143146
25004902265700003;220;211;LANCON;AVIGNON-N;20120102171044;20120102173524
25004902265700003;211;220;AVIGNON-N;LANCON;20120102175154;20120102181908
25004902265700003;220;211;LANCON;AVIGNON-N;20120105000246;20120105002711
25004902265700003;211;210;AVIGNON-N;ORANGE;20120106175244;20120106180534
25004902265700003;210;211;ORANGE;AVIGNON-N;20120106192438;20120106193524
25004902265700003;211;218;AVIGNON-N;ORANGE-S;20120109122208;20120109123029
25004902265700003;218;211;ORANGE-S;AVIGNON-N;20120109140240;20120109141142
25004902265700003;211;218;AVIGNON-N;ORANGE-S;20120113130220;20120113131035
25004902265700003;218;211;ORANGE-S;AVIGNON-N;20120113142534;20120113143351
25004902265700003;211;210;AVIGNON-N;ORANGE;20120116122916;20120116124047
25004902265700003;210;211;ORANGE;AVIGNON-N;20120116135630;20120116140844
25004902265700003;222;226;REMOULINS;MONTPELLIER 1;20120119155052;20120119161243
25004902265700003;331;354;MONTPELLIER 2;TOULOUSE-SUD/OUEST;20120119163106;20120119182004
25004902265700003;355;331;TOULOUSE-SUD/EST;MONTPELLIER 2;20120120151616;20120120170435
25004902265700003;226;222;MONTPELLIER 1;REMOULINS;20120120174810;20120120181038
25004902265700003;211;220;AVIGNON-N;LANCON;20120122215106;20120122221538
25004902265700003;541;535;VIRSAC;NIORT-S;20120123193932;20120123205424
25004902265700003;220;211;LANCON;AVIGNON-N;20120125201938;20120125204502
25004902265700003;211;210;AVIGNON-N;ORANGE;20120130184418;20120130185548
25004902265700003;210;218;ORANGE;ORANGE-S;20120130193846;20120130194238
25004902265700003;218;211;ORANGE-S;AVIGNON-N;20120131095412;20120131100308
25004902265700003;211;210;AVIGNON-N;ORANGE;20120131195856;20120131201003
25004902265700003;210;220;ORANGE;LANCON;20120131205246;20120131212731
25004902265700003;220;211;LANCON;AVIGNON-N;20120203200206;20120203202528
25004902265700003;211;220;AVIGNON-N;LANCON;20120220195504;20120220202037
25004902265700003;220;211;LANCON;AVIGNON-N;20120222193710;20120222200408
25004902265700003;218;210;ORANGE-S;ORANGE;20120225111038;20120225111404
25004902265700003;211;201;AVIGNON-N;VIENNE;20120227102810;20120227120315
25004902265700003;201;218;VIENNE;ORANGE-S;20120229200650;20120229212957
25004902265700003;211;220;AVIGNON-N;LANCON;20120301163412;20120301165933
25004902265700003;220;211;LANCON;AVIGNON-N;20120304164310;20120304170822
25004902265700003;218;210;ORANGE-S;ORANGE;20120309214650;20120309215019
25004902265700003;211;220;AVIGNON-N;LANCON;20120313203930;20120313210517
25004902265700003;220;211;LANCON;AVIGNON-N;20120316202050;20120316204745
25004902265700003;211;220;AVIGNON-N;LANCON;20120320184806;20120320191036
25004902265700003;220;211;LANCON;AVIGNON-N;20120321233630;20120322000140
25004902265700003;211;210;AVIGNON-N;ORANGE;20120322104404;20120322105516
25004902265700003;210;211;ORANGE;AVIGNON-N;20120322125028;20120322130208
25004902265700003;211;210;AVIGNON-N;ORANGE;20120326181938;20120326183128
25004902265700003;210;218;ORANGE;ORANGE-S;20120326200330;20120326200711
25004902265700003;211;210;AVIGNON-N;ORANGE;20120328135212;20120328140346
25004902265700003;210;211;ORANGE;AVIGNON-N;20120328144138;20120328145306
25004902265700003;211;218;AVIGNON-N;ORANGE-S;20120403193428;20120403194246
