Pays,Sté,Client,Badge,SO Gare Entrée,Gare dentrée,Voie Entrée,Heure dEntrée,Date entrée,SO Gare Sortie,Gare de Sortie,Voie Sortie,Heure de Sortie,Date
250,4,9035975,2,00,000,00,0,0,06,033,35,142940,20150103
250,4,9035975,2,06,038,12,20150103,141700,06,036,55,142209,20150103
250,4,9035975,2,00,000,00,0,0,06,032,15,164606,20150103
250,4,9035975,2,00,000,00,0,0,06,033,16,174623,20150103
250,4,9035975,2,06,036,17,20150103,175300,06,038,54,175806,20150103
250,4,9039656,1,00,000,00,0,0,06,010,15,122116,20150104
250,4,9039656,1,00,000,00,0,0,06,012,08,124133,20150104
250,4,9039656,1,00,000,00,0,0,06,010,35,160133,20150104
250,4,9039656,1,00,000,00,0,0,06,012,50,154203,20150104
250,4,9039656,1,00,000,00,0,0,06,020,29,153150,20150104
250,4,9039656,1,00,000,00,0,0,06,025,23,151927,20150104
250,4,9039656,1,06,049,02,20150105,65400,06,002,68,75906,20150105
250,4,9035975,2,06,003,12,20150105,104300,06,009,45,113144,20150105
250,4,9035975,2,06,009,13,20150105,181900,06,003,22,185800,20150105
250,4,9035975,2,00,000,00,0,0,06,001,14,81525,20150106
250,4,9035975,2,00,000,00,0,0,06,001,23,200325,20150106
250,4,9035975,2,00,000,00,0,0,06,001,13,82156,20150107
250,4,9040694,1,06,002,08,20150107,120600,06,009,46,125512,20150107
250,4,9040694,1,06,009,18,20150107,174500,06,002,69,183411,20150107
250,4,9035975,2,00,000,00,0,0,06,001,24,194017,20150107
250,4,9035975,2,00,000,00,0,0,06,001,10,82427,20150108
250,4,9040694,1,06,002,07,20150108,84200,06,009,46,93121,20150108
250,4,9040694,1,06,009,18,20150108,175000,06,002,70,183923,20150108
250,4,9035975,2,00,000,00,0,0,06,001,24,195707,20150108
250,4,9039656,1,06,002,06,20150108,190100,06,049,23,195200,20150108
250,4,9035975,2,00,000,00,0,0,06,001,11,80447,20150109
250,4,9039656,1,06,049,02,20150109,74700,06,002,70,83610,20150109
250,4,9035975,2,00,000,00,0,0,06,001,24,200148,20150109
250,4,9039656,1,06,002,08,20150109,200300,06,049,23,205256,20150109
250,4,9039656,1,06,049,01,20150110,165000,06,007,56,165749,20150110
250,4,9039656,1,06,007,13,20150110,194800,06,049,23,195709,20150110
250,4,9035975,2,00,000,00,0,0,06,001,10,82535,20150112
250,4,9039656,1,06,049,01,20150112,74500,06,002,65,84726,20150112
250,4,9035975,2,00,000,00,0,0,06,001,24,200226,20150112
250,4,9035975,2,00,000,00,0,0,06,001,14,81326,20150113
250,4,9040694,1,00,000,00,0,0,06,034,21,81948,20150113
250,4,9040694,1,06,002,04,20150113,75700,06,036,52,81013,20150113
250,4,9040694,1,00,000,00,0,0,06,034,14,141136,20150113
250,4,9040694,1,06,036,14,20150113,142000,06,009,46,151838,20150113
250,4,9035975,2,00,000,00,0,0,06,001,23,195216,20150113
250,4,9035975,2,00,000,00,0,0,06,001,14,82555,20150114
250,4,9040694,1,06,009,18,20150114,171700,06,002,69,180603,20150114
250,4,9039656,1,06,002,10,20150114,185400,06,049,23,194311,20150114
250,4,9035975,2,00,000,00,0,0,06,001,24,205637,20150114
250,4,9035975,2,00,000,00,0,0,06,001,10,81339,20150115
250,4,9035975,2,00,000,00,0,0,06,001,20,194722,20150115
250,4,9035975,2,00,000,00,0,0,06,001,10,83425,20150116
250,4,9040694,1,06,002,12,20150116,82800,06,009,46,91635,20150116
250,4,9035975,2,00,000,00,0,0,06,001,24,195828,20150116
250,4,9040694,1,06,009,17,20150116,193500,06,002,69,202426,20150116
250,4,9039656,1,06,002,12,20150117,600,06,049,23,10436,20150117
250,4,9035975,2,00,000,00,0,0,06,001,10,85242,20150119
250,4,9039656,1,00,000,00,0,0,06,010,14,82359,20150119
250,4,9039656,1,00,000,00,0,0,06,010,35,183351,20150119
250,4,9035975,2,00,000,00,0,0,06,001,24,200523,20150119
250,4,9035975,2,00,000,00,0,0,06,001,10,81945,20150120
250,4,9039656,1,00,000,00,0,0,06,010,14,93042,20150120
250,4,9040694,1,06,002,12,20150120,111200,06,009,46,121554,20150120
250,4,9039656,1,00,000,00,0,0,06,010,35,190923,20150120
250,4,9039656,1,06,049,01,20150121,64800,06,002,68,74721,20150121
250,4,9035975,2,00,000,00,0,0,06,001,10,82807,20150121
250,4,9035975,2,00,000,00,0,0,06,001,13,74840,20150122
250,4,9040694,1,06,009,18,20150122,180100,06,002,69,185024,20150122
250,4,9035975,2,00,000,00,0,0,06,001,23,200045,20150122
250,4,9035975,2,00,000,00,0,0,06,001,13,81019,20150123
250,4,9039656,1,06,002,08,20150123,181500,06,049,23,190357,20150123
250,4,9035975,2,00,000,00,0,0,06,001,23,203718,20150123
250,4,9039656,1,06,049,01,20150125,135200,06,002,57,143458,20150125
250,4,9039656,1,06,002,12,20150125,153800,06,004,51,155104,20150125
250,4,9039656,1,06,005,13,20150125,180000,06,049,23,182637,20150125
250,4,9035975,2,00,000,00,0,0,06,001,10,82925,20150126
250,4,9039656,1,06,049,02,20150126,74800,06,002,69,84826,20150126
250,4,9040694,1,00,000,00,0,0,06,001,10,181634,20150126
250,4,9035975,2,00,000,00,0,0,06,001,23,195524,20150126
250,4,9039656,1,06,002,11,20150126,193300,06,049,23,202121,20150126
250,4,9035975,2,00,000,00,0,0,06,001,13,80933,20150127
250,4,9040694,1,06,002,12,20150127,81400,06,009,46,90308,20150127
250,4,9039656,1,06,049,01,20150127,100500,06,006,51,102418,20150127
250,4,9040694,1,06,009,17,20150127,103000,06,006,51,104734,20150127
250,4,9040694,1,06,006,11,20150127,131500,06,009,45,133232,20150127
250,4,9039656,1,06,006,12,20150127,133900,06,009,45,140005,20150127
250,4,9040694,1,06,009,17,20150127,164200,06,002,71,173034,20150127
250,4,9039656,1,00,000,00,0,0,06,010,24,185104,20150127
250,4,9035975,2,00,000,00,0,0,06,001,23,204437,20150127
250,4,9039656,1,06,049,02,20150128,70100,06,002,70,75612,20150128
250,4,9035975,2,00,000,00,0,0,06,001,10,82438,20150128
250,4,9040694,1,06,002,10,20150128,80700,06,009,46,85645,20150128
250,4,9040694,1,06,009,17,20150128,160800,06,002,71,165710,20150128
250,4,9035975,2,00,000,00,0,0,06,001,20,202024,20150128
250,4,9035975,2,00,000,00,0,0,06,001,10,82451,20150129
250,4,9040694,1,06,002,12,20150129,165600,06,009,46,174530,20150129
250,4,9039656,1,06,002,12,20150129,171800,06,049,23,181608,20150129
250,4,9035975,2,00,000,00,0,0,06,001,24,201134,20150129
250,4,9039656,1,06,049,01,20150130,71500,06,002,43,80347,20150130
250,4,9035975,2,00,000,00,0,0,06,001,10,82531,20150130
250,4,9040694,1,06,009,17,20150130,180200,06,002,44,185120,20150130
250,4,9035975,2,00,000,00,0,0,06,001,23,191750,20150130
250,4,9039656,1,06,002,12,20150130,190800,06,049,52,195808,20150130
