Societe,Lib,Autoroute,Cde,Sens,PK,Lat,Lng
4,CONDRIEU Entrée,A7,25004268,1,32,45.2538766,4.8354351
4,CONDRIEU Sortie,A7,25004269,1,30,45.271142,4.8320836
4,BEZIERS CABRIALS,A75,25004334,1,330.475,43.3628187,3.2748994
5,LE MANS-OUEST,A11,25005617,1,177,48.0194974,0.1286364
4,MONTGISCARD,A61,25004352,1,252.329,43.46066914,1.584054616
5,CHARTRES SUD,A11,2089,1,55,48.4574303,1.5415813
5,THIVARS SUD,A11,2090,1,68,48.3644494,1.4465725
5,TOURS-C/SORIGNY,A10,25005522,1,228,47.2130832,0.6563176
5,SAINT MAIXENT,A10,2111,1,344,46.4286409,-0.0841793
5,DOURDAN,A10,25005198,1,19.57,48.5687002,1.987651
5,ANCENIS BARRIERE,A11,25005270,1,315.31,47.40076276,-1.195514879
5,ANCENIS-NORD,A11,25005271,1,314.89,47.40212328,-1.190281586
5,ANCENIS-SUD,A11,25005272,1,314.89,47.40212328,-1.190281586
5,SAINT GERMAIN,A11,25005274,1,284.83,47.43378635,-0.803881183
5,ST JEAN DE LINIERES,A11,25005280,1,275.42,47.46521263,-0.691117779
5,NEUILLE PONT PIERRE,A28,25005478,1,34.81,47.55457955,0.598203593
5,MONTS - SORIGNY,A10,25005484,1,223.36,47.25422517,0.665099403
5,LA THIBAUDIERE,A10,25005485,1,214.63,47.32850284,0.692677955
5,TOURS-NORD,A10,25005486,1,199.78,47.44955047,0.744166319
5,CHAMBRAY,A10,25005490,1,212.59,47.34574771,0.701337467
4,AIRE DE LA CORREZE,A8900,25004151,1,232,45.3536095,1.9250096
4,AIRE DU CHAVANON,A8900,25004153,1,288,45.6189186,2.4570386
5,ESCRENNES,A19,8003,1,101,48.1157736,2.1902872
5,AUXY,A19,8004,1,79,48.0827801,2.4766034
4,ROCADE EST,A68,25004490,1,0,43.6376724,1.4812271
4,FEURS,A72,25004001,1,95.5,45.7349164,4.1825783
4,LIMITE A89-A71,A8900,25004075,1,358.855,45.97236207,3.100012507
4,ARVEYRES,A8900,25004101,1,18.4,44.8731915,-0.2851791
4,LIBOURNE NORD,A8900,25004102,1,29.375,44.95982528,-0.247161403
4,COUTRAS,A8900,25004103,1,43.46,45.00934491,-0.09522603
4,MONTPON,A8900,25004104,1,64.275,44.98302247,0.153820417
